Original Text,Preprocessing Text
Can't log in to My T-Mobile account,ca log account
How do i set up the Netflix account?,set netflix account
Can not link number,link number
Help mi please,help mi pleas
"After 12 consecutive payments, no offer of low or no down payments",consecut payment offer low payment
Unable to make payment,unabl make payment
Constant Password Changes,constant password chang
People calling me get a busy signal,peopl call get busi signal
Unauthorized plan change,unauthor plan chang
RESERVE STATUS-ACTIVATION ON PREPAID SIM CARD,reserv prepay sim card
How to Activate Google Play TMobile Billing Online,activ googl play tmobil bill onlin
Phone Unlock,phone unlock
Does T-Mobile still have On Demand Data Passes?,still demand data pass
HELP: Assurant Denied my claim without reason,help assur deni claim without reason
Why can't IRS verify my identity using My T-Mobile phone,ca ir verifi ident use phone
RoboCall issue,robocal issu
Fake Calls / Scam Calls / Spoofing Phone Numbers,fake call scam call spoof phone number
Is calling from another country using your T-Mobile phone included in the base package?,call anoth countri use phone includ base packag
International user prepaid plan with data,intern user prepay plan data
Tourist 1000 plan in NY?,tourist plan ny
update my payment debit card #- new card/new number,updat payment debit card new number
International payment,intern payment
Overpayment,overpay
Voicemail Default,voicemail default
Login issue,login issu
Am I really getting a refund on my credit card? Seems unlikely,realli get refund credit card seem unlik
SyncUp associated with a phone #,syncup associ phone
Paying off my verizon bill?,pay verizon bill
My account information is not loading in the app or online,account inform load app onlin
Any other military get screwed on warranty returns?,militari get screw warranti return
Unable to access prepaid account on t-mobile.com since Oct 12,unabl access prepay account sinc oct
Ripped off and very disappointed with customer service,rip disappoint custom servic
Text and Voice,text voic
unlock phone,unlock phone
Yahoo Finance For Note 9 isn't working on Edge app,yahoo financ note work edg app
Family Allowances seems to be some kind of joke,famili allow seem kind joke
Overseas Travel: How can I avoid incoming call costs but still use free text/data roaming while abroad?,oversea travel avoid incom call cost still use free roam abroad
iPhone X and Jump,iphon x jump
Late voice mails,late voic mail
Netflix Issue,netflix issu
Questions on use overseas,question use oversea
Carrier freedom question,carrier freedom question
Advertising Fraud - 10GB for $40 (Simply Prepaid) Promotion,advertis fraud simpli prepay promot
Restore prepaid number,restor prepay number
how can I restric phone service from one line in my acount?,restric phone servic line acount
I don't have T-Mobile as a carrier but my phone is locked to them.,carrier phone lock
Get out of the Red Availability,get red avail
FamilyMode app - adding a device,familymod app add devic
Can't pay bill because my Tmobile is down.,ca pay bill tmobil
My phone can not be used in Vietnam,phone use vietnam
Credit Reference,credit refer
Hd video problem,hd video problem
Play Store carrier billing stopped working after changing to T-Mobile One,play store carrier bill stop work chang
Still haven't received my reimbursement after 3 months of delays and issues.. help please!,still receiv reimburs month delay help pleas
How is prepaid different from postpaid,prepay differ postpaid
it's been 72 hours of a new account. why can't I manage my account?,hour new account ca manag account
Are port-out number and PIN number same thing?,number pin number thing
T-Mobile Account Placed in Collections After 13 years ... HOW AND WHY?!?,account place collect year
Robocall leaving voice messages,robocal leav voic messag
How long does number stay active after not recharging prepaid for a while?,long number stay activ recharg prepay
T-MOBILE store's have bad customer service training,store bad custom servic train
awful insurance service-fraud,aw insur
price difference,price differ
Family Mode Base is not allowing me to access my NAS from internet,famili mode base allow access na internet
Change usernamed,chang usernam
Mr. James,jam
Have HUGE issue with T-Mobile cracked screen policy. NEEDS UPDATED!,huge issu crack screen polici need updat
Upgrade Support Charge?,upgrad support charg
remove number from Scam Block,remov number scam block
Pixel 3 promo?,pixel promo
Message not found/unknown sender,messag sender
Caller ID making things worse,caller id make thing wors
Buying airtime cards,buy airtim card
"Autopay failure, account manually paid, but still no service",autopay failur account manual pay still servic
A ridiculously simple international roaming question,ridicul simpl intern roam question
T-Mobile Tuesday HotelStorm Promo ($220 off 4 night Stay) Scam?,tuesday hotelstorm promo night stay scam
"Can't call 311 in Round Rock, TX (next to Austin). How do I fix this?",ca call round rock tx next austin fix
"Sent in an iPhone, was told they received it, never saw any money.",send iphon tell receiv never saw money
Port out not completed on t-mobiles end problem,port complet end problem
Personal Identifiable Information,person identifi inform
Device Protection Claim Issue,devic protect claim issu
Worst Customer service EVER!,worst custom servic ever
"Long hold time, multiple transfers and dropped Customer Service calls",long hold time multipl transfer drop custom servic call
Problem With Visual Voicemail,problem visual voicemail
how do I print the label to return old phone,print label return old phone
auto refill or refill by credit card doesn't work,auto refil refil credit card work
"T-mobile 1 hr free wifi feature not working with the aircraft on new vendor ""Viasat"" during American airlines flights",hr free wifi featur work aircraft new vendor viasat american airlin flight
Problems switching from pre-paid to post-paid,problem switch
Mrs,mr
Is there a way to open a sales misrepresentation claim?,way open sale misrepresent claim
unlock my paid off phone,unlock pay phone
Unable to enter 'valid' credit card number to set-up Auto-pay,unabl enter credit card number
I made a paymenton my credit card,make paymenton credit card
Why no Refund,refund
Warrenty Exchange S8,warrenti exchang
Unknown people joining your group text messages???,unknown peopl join group text messag
Online bill pay and support chat broken on Chrome?,onlin bill pay support chat break chrome
Free line promotion issue,free line promot issu
Device Protection,devic protect
NOTE 8 BOGO FRAUD!,note bogo fraud
Ripped off by Jump on Demand,rip jump demand
You are not authorized to access this account,author access account
iPhone in a Blackhole after online purchase / What will T-Mobile Do?,iphon blackhol onlin purchas
Family mode home base,famili mode home base
BAIT AND SWITCH???,bait switch
Carrier Freedom is a Scam,carrier freedom scam
I'm lost on the Carrier Freedom Promotion?,lose carrier freedom promot
Website redirecting so can't update payment option?,websit redirect ca updat payment option
Worse Customer Service Ever,wors custom servic ever
Premium messages?,premium messag
Taking way too long!,take way long
No HD Streaming on One Plus International,hd stream plu intern
my number porting out stuck somewhere at T-mobile end,number port stick somewher end
Item showed In Stock but it in back order?,item show stock back order
Online payment doesn't process when buying web special accessory,onlin payment process buy web special accessori
Adding minutes to a data only plan,add minut data plan
Landline number won't port over to Prepaid T-Mobile SIM,landlin number wo port prepay sim
My phone remaining balance,phone remain balanc
Autopay & payment arrangement,autopay payment arrang
Iphone XS second line?,iphon xs second line
Returned my IPhone Xs Max,return iphon xs max
You are not authorized to access this account.,author access account
Tmobile App Does Not Work on My Pixel 2 - Any Fix?,tmobil app work pixel fix
not authorized.,author
Double Billed - Billed for one balance two times,doubl bill bill balanc time
Cannot change the blocking control settings in the My Profile,chang block control set profil
VZW Transplant Family Control,vzw transplant famili control
CALL ME BACK !,call back
down,
Transfer of minutes,transfer minut
Unable to change address.,unabl chang address
galaxy note 8,galaxi note
T-Mobile &amp; UPS - Bad combination,amp up bad combin
I got scammed by T-Mobile Tuesday Deal with HotelStorm,get scam tuesday deal hotelstorm
Voicemail not showing up online or when I call in from another phone,voicemail show onlin call anoth phone
Cannot turn Voicemail to text ON!,turn voicemail text
Where is my Prepaid Cell Phone Pin Number,prepay cell phone pin number
Frustrated!!,frustrat
International rates over WiFi calling,intern rat wifi call
Live Chat - Big Lies,live chat big lie
pin,pin
Porting from The Number Barn,port number barn
Backorders,backord
What are these one time charges on my pre-paid account?,time charg account
Usage details not accurate,usag detail accur
Any recourse for ridiculous Pay-Per-Use charges?,recours ridicul charg
EMERGENCY ALERTS,emerg alert
T-mobile Text Online,text onlin
T-Mobile SIM for Audi Connect,sim audi connect
Promotion Problems and Big Billing Issues,promot problem big bill issu
TMobile Overcharges everytime,tmobil overcharg everytim
How do I see what my call history is with a prepaid plan?,see call histori prepay plan
FamilyMode Drama,familymod drama
block unwanted calls,block unwant call
I can't get into my Tmo App,ca get tmo app
Liberar Movil para usar en otro pais,liberar movil para usar en otro pai
Cost effective plan with Hotspot,cost effect plan hotspot
Cancel Tmobile service but...,cancel tmobil servic
Post paid account billed like prepaid?,post pay account bill like prepay
Delete a service,delet servic
T-Mobile One TE vs T-mobile One,te vs
using the visual voicemail app,use visual voicemail app
Not receiving SMS messages,receiv sm messag
